model,strategy,package,target_reduction_pp
Qwen,Evidence breakdown,Popularity-heavy profile,38.6
Qwen,Evidence breakdown,Citation-padded note,33.3
Qwen,Evidence breakdown,Independent buyer guide,33.7
Qwen,Evidence breakdown,False-fit checklist,45.0
Qwen,Evidence breakdown,Selective comparison note,33.1
Qwen,Evidence breakdown,AI-directed source text,44.1
Qwen,Evidence breakdown,Full-stack realistic,55.2
Qwen,Context balancing,Caveat-buried FAQ,2.3
Qwen,Context balancing,Popularity-heavy profile,11.5
Qwen,Context balancing,Citation-padded note,3.4
Qwen,Context balancing,Independent buyer guide,0.9
Qwen,Context balancing,False-fit checklist,-7.1
Qwen,Context balancing,Selective comparison note,2.7
Qwen,Context balancing,AI-directed source text,16.1
Qwen,Context balancing,Full-stack realistic,6.7
Qwen,Instruction filtering,Caveat-buried FAQ,-6.9
Qwen,Instruction filtering,Popularity-heavy profile,-3.7
Qwen,Instruction filtering,Citation-padded note,-5.5
Qwen,Instruction filtering,Independent buyer guide,-5.9
Qwen,Instruction filtering,False-fit checklist,-5.1
Qwen,Instruction filtering,Selective comparison note,-5.6
Qwen,Instruction filtering,AI-directed source text,6.6
Qwen,Instruction filtering,Full-stack realistic,2.3
Devstral,Defensive prompt,Caveat-buried FAQ,2.6
Devstral,Defensive prompt,Popularity-heavy profile,2.7
Devstral,Defensive prompt,Citation-padded note,3.3
Devstral,Defensive prompt,Independent buyer guide,2.6
Devstral,Defensive prompt,False-fit checklist,3.3
Devstral,Defensive prompt,Selective comparison note,2.2
Devstral,Defensive prompt,AI-directed source text,3.6
Devstral,Defensive prompt,Full-stack realistic,2.0
Devstral,Rationale elicitation,Caveat-buried FAQ,-2.8
Devstral,Rationale elicitation,Popularity-heavy profile,-2.9
Devstral,Rationale elicitation,Citation-padded note,-2.1
Devstral,Rationale elicitation,Independent buyer guide,-2.3
Devstral,Rationale elicitation,False-fit checklist,-4.4
Devstral,Rationale elicitation,Selective comparison note,-1.9
Devstral,Rationale elicitation,AI-directed source text,-0.7
Devstral,Rationale elicitation,Full-stack realistic,-1.2
Devstral,Evidence breakdown,Caveat-buried FAQ,13.4
Devstral,Evidence breakdown,Popularity-heavy profile,19.9
Devstral,Evidence breakdown,Citation-padded note,18.7
Devstral,Evidence breakdown,Independent buyer guide,17.6
Devstral,Evidence breakdown,False-fit checklist,26.6
Devstral,Evidence breakdown,Selective comparison note,14.9
Devstral,Evidence breakdown,AI-directed source text,14.6
Devstral,Evidence breakdown,Full-stack realistic,16.2
Devstral,Context balancing,Caveat-buried FAQ,4.7
Devstral,Context balancing,Popularity-heavy profile,5.8
Devstral,Context balancing,Citation-padded note,5.0
Devstral,Context balancing,Independent buyer guide,3.3
Devstral,Context balancing,False-fit checklist,-1.6
Devstral,Context balancing,Selective comparison note,5.1
Devstral,Context balancing,AI-directed source text,2.4
Devstral,Context balancing,Full-stack realistic,0.7
Devstral,Instruction filtering,Caveat-buried FAQ,-1.4
Devstral,Instruction filtering,Popularity-heavy profile,-1.7
Devstral,Instruction filtering,Citation-padded note,-1.2
Devstral,Instruction filtering,Independent buyer guide,-0.7
Devstral,Instruction filtering,False-fit checklist,-2.3
Devstral,Instruction filtering,Selective comparison note,-1.7
Devstral,Instruction filtering,AI-directed source text,7.4
Devstral,Instruction filtering,Full-stack realistic,5.4
